t,offset,oldInt,newInt,oldFloat,newFloat
5.739,228,1055553867,1055411762,0.4579566,0.4537216
5.74,232,1055553867,1055411762,0.4579566,0.4537216
5.741,236,1055553867,1055411762,0.4579566,0.4537216
5.742,240,-1123477633,-1115732205,-0.03346967,-0.06232364
5.743,244,-1148365721,-1148577719,-0.00431304,-0.004214321
5.744,248,-1090803895,-1090804586,-0.4915107,-0.4914901
5.745,260,1100254760,1100226765,18.56941,18.51602
5.746,352,1031868416,1027637248,0.0630188,0.04699707
5.799,12,1857,1854,2.602211E-42,2.598007E-42
5.8,216,-1055550555,-1060952199,-9.348546,-6.098568
5.801,220,-1076660944,-1076811235,-1.652014,-1.634098
5.802,224,-1019172349,-1019172074,-192.6641,-192.6683
5.803,228,1055411762,1055306572,0.4537216,0.4505867
5.803,232,1055411762,1055306572,0.4537216,0.4505867
5.804,236,1055411762,1055306572,0.4537216,0.4505867
5.805,240,-1115732205,-1121548267,-0.06232364,-0.04065712
5.806,244,-1148577719,-1148675868,-0.004214321,-0.004168617
5.807,248,-1090804586,-1090804226,-0.4914901,-0.4915008
5.807,260,1100226765,1100199421,18.51602,18.46386
5.809,352,1027637248,1027366912,0.04699707,0.04598999
5.86,12,1854,1850,2.598007E-42,2.592402E-42
5.861,216,-1060952199,-1063604733,-6.098568,-4.833742
5.862,220,-1076811235,-1075831538,-1.634098,-1.750887
5.863,224,-1019172074,-1019172503,-192.6683,-192.6618
5.864,228,1055306572,1055179780,0.4505867,0.446808
5.865,232,1055306572,1055179780,0.4505867,0.446808
5.865,236,1055306572,1055179780,0.4505867,0.446808
5.866,240,-1121548267,-1123811762,-0.04065712,-0.03222495
5.867,244,-1148675868,-1148036066,-0.004168617,-0.004466548
5.868,248,-1090804226,-1090804787,-0.4915008,-0.4914841
5.869,260,1100199421,1100161570,18.46386,18.39167
5.87,352,1027366912,1031864320,0.04598999,0.06298828
5.892,12,1850,1848,2.592402E-42,2.5896E-42
5.893,216,-1063604733,-1062963006,-4.833742,-5.139741
5.894,220,-1075831538,-1075404920,-1.750887,-1.801744
